order_id,on_demand,total_minutes,to_weigh,no_weigh,total_products,found_rate,picking_speed,accepted_rate,rating,distance,sabado,domingo
e750294655c2c7c34d83cc3181c09de4,0,67.68426395,4,16.0,20.0,0.9024,1.3,0.92,4.76,0.6062912169346637,0,0
3bb5d9adb3ecac1925b60d5d26a510c4,0,160.336210916667,4,63.0,67.0,0.9024,1.3,0.92,4.76,0.8727258667471919,1,0
b838eea64cf24dde0a78ce1feb84ca7c,1,122.23921008333299,1,155.0,156.0,0.8909,1.17,0.96,5.0,1.685322195455695,1,0
2c85303190a77493348b0b827232f4d6,1,133.11392575,8,115.0,123.0,0.8462,1.11,0.96,4.96,0.7661704293574669,1,0
e606cc26b843c312df82a29d1f8d4372,1,94.7344794666667,3,97.0,100.0,0.8138,1.89,0.84,4.68,3.0963631644616663,1,0
e02f05a79d827416af6263abb6e25c58,1,74.53225608333331,0,14.0,14.0,0.8456,1.93,0.96,4.8,1.6007813960391366,1,0
e45e668951c8c066ab501d48f06e9483,1,91.1928124333333,0,7.0,7.0,0.8456,1.93,0.96,4.8,1.5410340025276856,1,0
9ebfb2c2c6f26e56d4e58172086457ee,0,91.3927571,1,52.0,53.0,0.8813,1.0,0.84,4.72,0.3659651239359508,1,0
6e9af6b67dae25e7c355322cd6ae973f,0,55.9144366333333,1,49.0,50.0,0.867,1.33,0.96,4.84,2.2820012149201623,0,0
f1ac598a581d50e26b45596d8d47e98f,0,112.457474016667,1,37.0,38.0,0.8671,2.5,1.0,5.0,0.8965748562094399,1,0
186978dfcc1b47f9217630e9e5dd89ad,1,76.7102264333333,1,11.0,12.0,0.8761,1.5,0.92,5.0,2.7823871345452313,1,0
3e935df21df6d5f768223357e5112748,0,72.0436499333333,0,37.0,37.0,0.8827,1.5,1.0,4.44,1.8535599172562132,1,0
382e96addc21274f4e66d3f7df92a756,1,70.2145618166667,1,58.0,59.0,0.8205,1.58,0.8,4.92,1.0662223148777965,1,0
fdd041b27186b00dd75320368d3e4f04,1,150.643085383333,5,94.0,99.0,0.8447,1.41,0.88,4.92,0.7009466683265594,1,0
f0c372a4aaa7a0f698f8cefd6287b0cc,1,110.394378333333,0,10.0,10.0,0.8707,1.31,0.96,4.68,2.4902069313519073,1,0
e5dc1ae5c6a86b90c114708c87e6e81f,1,96.86968198333331,1,51.0,52.0,0.8885,0.91,0.96,4.84,3.767187652442593,0,0
8b8a4619e4bd54a85df44c269fd757cc,0,122.91316861666701,0,16.0,16.0,0.8143,4.0,1.0,4.86,0.5318675307559334,0,0
e3b9c523a6e85cf695dcb5979655faed,1,87.7623092333333,6,54.0,60.0,0.8596,1.68,0.8,4.84,2.1242965555933178,1,0
523cc5c512901ae9d215d4806747d84b,1,111.9105756,1,83.0,84.0,0.7984,1.62,0.92,4.84,1.9862183676562997,1,0
287b12b085a7a40209270befbd1fdda4,1,105.2255549,5,77.0,82.0,0.8869,0.93,0.96,5.0,3.9442387253075766,1,0
db06960c3c1a2c7585221f338f17715a,1,70.4026137333333,1,34.0,35.0,0.8506,0.95,1.0,4.88,3.0092180769490744,1,0
ad8e72ecd4bd1239d9e5060bac5df334,1,157.640352433333,3,90.0,93.0,0.758,1.65,0.8,4.44,1.4976372777992175,1,0
4c2a2cdcbfa8177517d39c1e38e96349,1,99.9107554333333,0,20.0,20.0,0.8390000000000001,1.7,0.92,4.92,0.5261760009950994,1,0
640a5251cdc155fd80c41dfa64605801,1,128.908248133333,0,54.0,54.0,0.8199,1.75,0.88,4.88,1.214985888806161,1,0
4a788a8c671d09c674b672289af7bb00,1,88.3494798333333,1,35.0,36.0,0.8578,2.37,0.84,4.92,2.077515111278513,1,0
5984c9cd108667e7b8d3423d47688c97,1,98.1614682,2,6.0,8.0,0.8544,0.83,0.96,5.0,0.9832563499387096,1,0
